Moyenne;UE1;Systeme;Reseaux;Algo;Web;POO;BD;UE2;Proba;Modelisation;Droit;Gestion;Expression;Anglais;UE3;Methodologie;Projet;PPP
4,44;3,493;7;2,75;5,5;8;3,925;3,75;7,007;5,422;10,75;0;7,32;13;16;1,2;0;1,825;15,25
9,362;5,816;5,775;7,3;3,5;4,5;8,761;4;12,155;8,383;15,25;4,9;16,37;12,5;14;10,867;10,75;9,475;14
12,174;11,033;13,425;11,15;8;15,5;9,393;5,25;12,272;10,876;17;6,2;14,11;12,5;12,5;14,259;14,875;14,465;12
11,181;8,425;9,175;7,975;6,25;8,5;11,081;5,25;13,087;9,239;15,25;8,2;14,708;13;17;12,883;14,25;10,775;13
11,281;8,737;12,325;7,675;3,75;10,25;9,059;5,75;13,007;11,365;16,75;6,5;13,168;14,5;15,25;12,917;14,5;12,125;9,75
9,87;7,672;8,575;8,7;4,75;7,5;9,233;5,75;11,769;8,361;9,5;12,5;12,88;13;14,25;10,467;10,25;10,775;10,5
12,137;9,11;11;13,925;5,5;6,5;10,822;6,25;13,927;10,429;15,75;12,9;19,08;14;11,75;14,613;15,75;11,215;18
11,67;9,844;6,975;11,225;7,75;13;12,142;6,25;13,009;10,406;17;11,5;11,036;16,5;14;12,643;14,375;8,615;15,5
10,74;8,239;7,175;5,925;7,25;10,25;10,166;6,75;12,597;9,377;15,25;8,5;16,238;13,5;12,5;12,03;10,5;14,465;11,75
10,564;8,677;10,425;10,475;5;6,5;11,238;7;11,931;10,042;16,25;5,5;15,178;12,5;11,5;11,605;11,75;10,565;13,25
9,991;8,014;9,475;7,625;5,5;7,5;9,656;7;11,28;11,28;11,28;11,28;11,28;11,28;11,28;11,368;11,368;11,368;11,368
9,713;5,38;4,675;4,475;4;4,25;7,612;7;13,673;9,716;15,75;8,5;17,864;17,5;13;10,46;10,75;8,255;14
10,439;8,901;9,4;7,275;5;9,5;12,108;7,25;11,687;9,002;11,75;8,2;12,978;11,5;15,25;11,017;10,25;11,425;12,5
11,611;8,44;10,35;9,25;2,25;8;10,764;7,5;14,468;10,882;15,75;11,2;17,894;17,5;14;12,238;12,5;11,215;13,5
12,462;8,985;14,675;7,125;3,25;8,25;9,329;7,75;15,742;13,671;11,75;14,9;20;16,5;16;12,858;13;12,075;14
11,959;11,62;15,275;10,375;14,75;11;11,216;7,75;12,136;12,136;12,136;12,136;12,136;12,136;12,136;12,285;15,5;8,255;12,5
11,916;9,839;11,675;13,5;6,25;8,5;10,553;7,75;13,266;11,718;16,5;8,2;15,59;13;13,75;13,367;16,125;9,915;12
11,702;8,091;11,8;5,9;0,25;7,75;10,945;7,75;15,026;15,353;15,25;7,2;19,4;16,5;14;12,275;11,5;12,075;15
10,881;9,517;12,425;8,1;6;8,75;11,398;7,75;12,069;11,24;15,25;12,5;11,14;14;10,5;11,233;10,75;12,075;11
11,855;9,249;11,5;12,15;6;8,5;8,707;8;13,2;12,352;18,25;10,2;13,036;14;12,5;14,375;15,75;12,125;14,75
11,197;8,522;12,85;5,725;4,75;7,5;9,468;8;13,318;11,708;17,25;6,5;16,97;15;12;12,305;11;13,165;14,5
10,949;7,927;5,775;9,225;4,75;6,5;12,589;8;13,975;9,023;15,25;12,2;17,786;13;16;10,942;12;8,825;12
10,345;6,715;8,246;5,975;2,75;6,25;8,181;8;13,092;9,503;12;10,9;17,18;14;14,5;12,11;14,5;8,255;13,25
10,288;7,99;5,5;3,85;11,5;12,5;6,192;8,25;12,429;8,935;18,5;0;17,822;13;14;10,602;9;9,555;17,5
